Grupo_Raiz,Subgrupo,Tarea_ID,Tarea_Nombre,Dependencia,Recurso,Dia,Bloque_ID,Index_Absoluto
Ingeniería Civil,3,DIB03204,Dibujo,PROF_CIVIL_DISEÑO,lab_computacion,Viernes,5,45
Ingeniería Civil,3,DIB03204,Dibujo,PROF_CIVIL_DISEÑO,lab_computacion,Viernes,6,46
Ingeniería Civil,3,DIB03204,Dibujo,PROF_CIVIL_DISEÑO,lab_computacion,Viernes,7,47
Ingeniería Civil,3,DIB03204,Dibujo,PROF_CIVIL_DISEÑO,lab_computacion,Viernes,8,48
Ingeniería Civil,3,EDI03304,Ecuaciones Diferenciales,PROF_CIENCIAS_A,No_Asignado,Martes,7,17
Ingeniería Civil,3,EDI03304,Ecuaciones Diferenciales,PROF_CIENCIAS_A,No_Asignado,Martes,8,18
Ingeniería Civil,3,EDI03304,Ecuaciones Diferenciales,PROF_CIENCIAS_A,No_Asignado,Martes,9,19
Ingeniería Civil,3,EDI03304,Ecuaciones Diferenciales,PROF_CIENCIAS_A,No_Asignado,Jueves,9,39
Ingeniería Civil,3,FIS03405,Física II,PROF_FISICA_X,No_Asignado,Jueves,0,30
Ingeniería Civil,3,FIS03405,Física II,PROF_FISICA_X,No_Asignado,Jueves,2,32
Ingeniería Civil,3,FIS03405,Física II,PROF_FISICA_X,No_Asignado,Jueves,3,33
Ingeniería Civil,3,FIS03405,Física II,PROF_FISICA_X,No_Asignado,Viernes,0,40
Ingeniería Civil,3,FIS03405,Física II,PROF_FISICA_X,No_Asignado,Viernes,1,41
Ingeniería Civil,3,IIN03202,Introducción a la Ingeniería,PROF_ING_GENERAL,No_Asignado,Martes,1,11
Ingeniería Civil,3,IIN03202,Introducción a la Ingeniería,PROF_ING_GENERAL,No_Asignado,Jueves,1,31
Ingeniería Civil,3,MAI03304,Matemática III,PROF_CIENCIAS_B,No_Asignado,Lunes,2,2
Ingeniería Civil,3,MAI03304,Matemática III,PROF_CIENCIAS_B,No_Asignado,Lunes,3,3
Ingeniería Civil,3,MAI03304,Matemática III,PROF_CIENCIAS_B,No_Asignado,Lunes,4,4
Ingeniería Civil,3,MAI03304,Matemática III,PROF_CIENCIAS_B,No_Asignado,Jueves,4,34
Ingeniería Civil,3,PRO03305,Programación II,PROF_COMP_ALGO,No_Asignado,Lunes,8,8
Ingeniería Civil,3,PRO03305,Programación II,PROF_COMP_ALGO,No_Asignado,Lunes,9,9
Ingeniería Civil,3,PRO03305,Programación II,PROF_COMP_ALGO,No_Asignado,Martes,0,10
Ingeniería Civil,3,PRO03305,Programación II,PROF_COMP_ALGO,No_Asignado,Martes,2,12
Ingeniería Civil,3,PRO03305,Programación II,PROF_COMP_ALGO,No_Asignado,Martes,3,13
